"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"SLPA54",1,863,1.03408851784473,3.88195009258547,0.2222222,0.406934465846599,0.32946663372,0,69.84375,69.84375,11.9903857273142,179.612563186647,0.13214311793215
"SLPA60",2,863,0.029871543221321,0.11794174540441,0.0058333,0.0112582125904486,0.00864845058,0,2.115555,2.115555,11.4892807251295,162.551604294502,0.00401478370416618
"SLPA90",3,863,97.2520798030127,0.962154205297556,97.3065,97.29727447178,0.572891465999997,90.77863,100.2588,9.48016999999999,-1.09190891704377,5.43393976410122,0.0327521100444826
"SLPA91",4,863,90.3855156431054,3.12924402216846,90.8,90.7541244573083,2.37216000000001,54.6,97.1,42.5,-3.05246735762879,23.349222984449,0.106520705315012
"SLPA92",5,863,96.9201425492468,0.470975927220881,97.03352,96.9857075108538,0.262568459999994,93.98648,98.24304,4.25655999999999,-1.93610241454496,6.25698220082704,0.0160322070118376
"SLPA93",6,863,1.02670681853998,0.415990416360018,0.9382699,0.980122227930535,0.37316864088,0.2389157,2.928854,2.6899383,1.07456879766251,1.15194051091679,0.0141604784545528
"SLPA103",7,863,0.0416990753186559,0.041772413076984,0.0287944,0.0345622328509407,0.02674032186,0,0.3508306,0.3508306,2.4112815467457,9.08001931066983,0.00142194947794034
"SLPA111",8,863,49.7449594438007,7.20003347936117,49.3,49.5348769898698,6.52344000000001,0,75.6,75.6,-0.0275007346970422,2.50300078455402,0.245091989975835
"SLPA112",9,863,102.241367323291,11.8416932806245,102.6,102.173082489146,10.3782,53.9,171.8,117.9,0.331646090708187,2.85153324074943,0.403095927144112
"SLPA113",10,863,66.0335785631518,9.15625552305397,65.43737,65.8144282344428,9.060124122,42.39567,95.46075,53.06508,0.275635988009766,-0.067142085097454,0.311682562769367
"SLPA114",11,863,5.62867910196987,1.50622242952014,5.409815,5.52422736324168,1.2790197462,1.6857,13.85273,12.16703,0.907276852256757,2.15273444413251,0.0512724077819264
"SLPA115",12,863,131.866105884125,121.273095617817,96.65046,109.061844283647,54.49192518,0,1616.579,1616.579,4.42314864805476,34.4827815517897,4.12818418424045
"SLPA116",13,863,16.3019454099652,15.2365834432373,11.78949,14.2272599334298,13.780203612,0,87.53521,87.53521,1.0948946251578,0.677782917692871,0.51865933224344
